NPA,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
212,"10.1%","16.7%","16.5%","14.8%","14%","16%","23.7%","37.8%","43.1%","37.4%"
213,"6.9%","5.5%","4.6%","5.4%","4.3%","4%","4.5%","6.5%","16.5%","11.6%"
215,"2.4%","1.3%","4.8%","1.4%","--","2.7%","3.6%","3.8%","4.6%","6.3%"
216,"2.9%","6.9%","1.7%","3.7%","5.1%","8.6%","9%","4.5%","19.1%","16.3%"
217,"5.7%","7.6%","2.8%","5.3%","4.2%","9.9%","2.7%","3.3%","5.5%","3.7%"
218,"5.8%","6.4%","9.8%","7%","8.2%","10.5%","15.1%","19.5%","24.5%","18.9%"
219,"17.6%","20.7%","12.5%","12%","11.2%","20.2%","17.5%","34.1%","41.9%","38%"
220,"13.4%","15.2%","16.9%","21.4%","11.3%","12.3%","17.3%","17.4%","31.9%","26.7%"
221,"9.1%","9.8%","7.8%","13.3%","9.2%","13.9%","19%","22%","31.7%","23.4%"
222,"4.9%","5%","8.1%","7.6%","3.3%","4.8%","2.9%","5.1%","13.9%","13.9%"
223,"10.6%","14%","13.6%","19.7%","16.3%","15.6%","17.1%","27.5%","30.7%","24.3%"
224,"8.9%","8.6%","11.9%","11%","6%","9.1%","8.8%","9.8%","22.8%","19.7%"
225,"12.9%","8.5%","10.1%","15.1%","8.3%","19.8%","22.2%","27.7%","34.9%","21.4%"
226,"10.6%","12.5%","9.3%","10.9%","9.8%","--","--","14.5%","17.2%","23.6%"
227,"6.3%","9.1%","9.6%","9.1%","10.9%","11.1%","12.4%","26.9%","33.5%","29.4%"
228,"4.2%","8.1%","13.3%","6.9%","7.7%","9%","10.3%","18%","34.1%","23.1%"
229,"10.1%","15.6%","13.3%","16%","14.1%","15.6%","19.9%","26.2%","33.9%","26.9%"
230,"14.4%","11.6%","16.3%","14.5%","14.9%","15.2%","22.6%","27.8%","32.6%","30.5%"
231,"4.2%","3%","4.1%","4.6%","5.4%","8.4%","10%","13.8%","24.9%","17.8%"
232,"6.9%","7.1%","8.4%","10.8%","12.4%","9.4%","15%","26.8%","30.3%","20.7%"
233,"2.6%","6.3%","6%","4.9%","6%","6.8%","7.6%","11.5%","29.9%","21.7%"
234,"9.2%","9.3%","7.2%","10.9%","13.6%","13.6%","12.7%","29.7%","27.7%","25.5%"
235,"3.9%","4.6%","3.6%","4.4%","3.7%","2.8%","4.2%","5.9%","14.1%","8.9%"
236,"3.8%","2.7%","4.7%","5.4%","5.6%","5%","3.6%","4.1%","18.1%","16.1%"
237,"13.6%","16.4%","13.9%","12.8%","12.8%","13.2%","13.8%","27.5%","31.1%","26.4%"
238,"13.9%","17.9%","14.7%","14.2%","17.4%","19.1%","19.4%","27.2%","33.3%","28.2%"
240,"12.7%","15.7%","19.3%","9.6%","5.2%","9.5%","13.5%","17.4%","18.3%","11.3%"
241,"3.2%","6.6%","4.5%","3.6%","3%","2.4%","3.6%","0.5%","5.3%","3.8%"
242,"6.2%","10.1%","10.6%","7.6%","8.5%","11.1%","14.3%","18%","26.8%","23.6%"
243,"--","28.6%","25%","21.4%","--","--","22%","18.1%","30.7%","20.2%"
244,"6.9%","9.7%","9.9%","8.1%","10.3%","7.3%","13.7%","20.6%","25.7%","22.5%"
245,"16.1%","20.1%","19.2%","17.4%","13.8%","18.3%","22.3%","32.9%","37.5%","34.6%"
246,"11.5%","10.5%","9.1%","10%","8.6%","13.4%","17.8%","26%","27.6%","27.8%"
247,"10.9%","13.4%","16.3%","17.6%","18.6%","13.7%","19.6%","43.1%","22.3%","38.5%"
248,"9%","15.8%","9.3%","16%","16.2%","22%","23%","35.8%","34.1%","30.5%"
249,"9.8%","9.9%","10.4%","13.6%","15.2%","18.5%","20%","47.2%","26.3%","31.9%"
250,"5.3%","8.4%","10%","8.2%","10.6%","8.6%","9.2%","19.7%","24.1%","23.7%"
251,"4.5%","2.7%","3.9%","6.4%","9.4%","10.3%","13.1%","17.9%","21.9%","19.5%"
252,"3.8%","2.6%","5.1%","10.3%","7.2%","13.5%","15.2%","22.1%","20%","19.8%"
253,"5.2%","4.9%","4.2%","3%","4.1%","5.8%","6.6%","4.8%","13.7%","9.2%"
254,"3.6%","9.5%","16.7%","14.9%","23.7%","14.3%","11.1%","32.9%","29.4%","34.1%"
255,"3.6%","3.2%","2%","3.5%","3.3%","6.9%","4%","5.4%","13.5%","12.4%"
256,"2.8%","2%","4.2%","3.4%","4.7%","5.3%","4.6%","5.5%","15.8%","12.1%"
257,"6%","6.8%","6.1%","6%","5.7%","5.3%","7.1%","6.5%","17.6%","11.6%"
258,"10.4%","11.7%","13.2%","12.8%","15.4%","18.4%","17.4%","31.2%","27.7%","19.8%"
259,"9%","11%","10.2%","13.7%","14%","16%","18%","33.6%","28.4%","23.1%"
260,"9.8%","16.6%","16.6%","12.3%","16.9%","18.5%","20.3%","28.5%","40.4%","33.9%"
261,"8.8%","8.4%","11.1%","8.5%","8.8%","8.2%","10.5%","19%","29.2%","19.9%"
262,"6.8%","8.4%","5%","4.2%","5.4%","5.8%","3.2%","5%","10.5%","10.3%"
263,"6.3%","6.4%","4.3%","4%","6.3%","3.3%","5.3%","5.5%","12%","8.9%"
264,"4.2%","6.1%","5.6%","9.4%","8.7%","7.9%","8%","23.5%","30.6%","18.1%"
265,"13.1%","8.1%","7.2%","9.2%","9.8%","9.6%","12.6%","14.2%","18.9%","13.5%"
266,"4%","7.5%","5.7%","5.3%","9.6%","10%","9.6%","16.2%","26.2%","18.1%"
267,"4.5%","4.3%","6.3%","4%","5.3%","7.8%","7.6%","9.8%","21.2%","16.2%"
268,"9.8%","16.6%","16.2%","15.1%","13.7%","12.1%","14.5%","26.3%","29.9%","22%"
269,"6.5%","8.1%","5.3%","9.2%","9.1%","6.2%","6.1%","9.3%","14.6%","12.2%"
270,"12.5%","12.6%","8.4%","8.4%","11%","11.4%","15.6%","31.1%","40.7%","35.6%"
271,"10.3%","15.3%","14.8%","16.7%","20.1%","19%","20.8%","46.1%","36.1%","25.1%"
272,"10.9%","17.2%","13.2%","14%","12.1%","14.3%","22%","23.5%","40.9%","35.5%"
273,"6.6%","9.4%","4.9%","7.5%","12.3%","15.2%","15.7%","20.4%","27.5%","23.2%"
